"YEAR:","CURRENT"
"REPORT:","COMPLETE REPORT"
"CATEGORY:",""
"ITEM NUMBER:",""
"ACCOUNT NUMBER:",""
"SALES REP:",""
"LOCATION:","ALL LOCATIONS"

"ITEM NUMBER","DESCRIPTION","REP","DOCNO","ACCNO","DATE","QUANTITY","RETAIL","COST","GROSS","%"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","000650","TG0100","11/12/2023","40","399","420","-21","-5.2"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","000690","SHA010","16/01/2024","45","473","473","0","0.0"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","003","000763","TB0100","30/01/2024","170","1571","1785","-214","-13.6"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","003","000925","TB0100","26/02/2024","46","425","483","-58","-13.6"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","000958","TG0100","04/03/2024","165","1647","1733","-86","-5.2"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","003","000984","TB0100","07/03/2024","70","647","735","-88","-13.6"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","000989","FP0200","08/03/2024","200","1932","2100","-168","-8.7"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","001018","SHA010","13/03/2024","40","420","420","0","0.0"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","001020","TG0100","13/03/2024","50","499","525","-26","-5.2"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","001104","3DCC01","02/04/2024","100","966","1050","-84","-8.7"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","001160","FP0200","12/04/2024","100","966","1050","-84","-8.7"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","003","001314","TE0300","14/05/2024","50","447","525","-79","-17.6"
"JL-L01-GD","GOLD LEAVE MEDAL 50MM (DIA)","001","001340","FP0200","20/05/2024","200","1932","2100","-168","-8.7"
