"ITEM NUMBER","DESCRIPTION","SUPPLIER","DOCNO","REFNO","DATE","QUANTITY","PRICE","TOTAL"
"CS-K08-S","LONG ROUND FLAT 240MM(H)","KWC000 KWC","000006","000006","20/06/2024","100.00","366.00","36600.00"
"CS-K08-S","LONG ROUND FLAT 240MM(H)","KWC000 KWC","000009","000009","08/10/2024","100.00","322.00","32200.00"
"CS-KH14-L","SPEAR TR BLACK BASE 310MM(","KWC000 KWC","000006","000006","20/06/2024","80.00","509.00","40720.00"
"CS-KH14-M","SPEAR TR BLACK BASE 275MM(","KWC000 KWC","000006","000006","20/06/2024","80.00","445.00","35600.00"
"CS-KH14-S","SPEAR TR BLACK BASE 235MM(","KWC000 KWC","000006","000006","20/06/2024","80.00","326.00","26080.00"
"CS-KH201","SMALL TRIANGLE 140MM(H)","KWC000 KWC","000009","000009","08/10/2024","600.00","87.50","52500.00"
"CS-KH202","SMALL OVAL 110MM(H)","KWC000 KWC","000001","000001","17/11/2023","240.00","94.00","22560.00"
"CS-KH202","SMALL OVAL 110MM(H)","KWC000 KWC","000006","000006","20/06/2024","400.00","100.00","40000.00"
"CS-KH202","SMALL OVAL 110MM(H)","KWC000 KWC","000009","000009","08/10/2024","300.00","87.50","26250.00"
"CS-KH203","SMALL SHIELD 140MM(H)","KWC000 KWC","000006","000006","20/06/2024","500.00","100.00","50000.00"
"CS-KH203","SMALL SHIELD 140MM(H)","KWC000 KWC","000009","000009","08/10/2024","300.00","87.50","26250.00"
"CS-KH204","SMALL SQUARE 130MM(H)","KWC000 KWC","000009","000009","08/10/2024","600.00","87.50","52500.00"
"CS-KH205","SMALL FLAME 140MM(H)","KWC000 KWC","000001","000001","17/11/2023","800.00","94.00","75200.00"
"CS-KH205","SMALL FLAME 140MM(H)","KWC000 KWC","000006","000006","20/06/2024","500.00","100.00","50000.00"
"CS-KH205","SMALL FLAME 140MM(H)","KWC000 KWC","000009","000009","08/10/2024","300.00","87.50","26250.00"
"CS-MAP-L","MAP OF AFRICA B/BASE 250MM","KWC000 KWC","000004","000004","28/02/2024","120.00","412.00","49440.00"
"CS-MAP-L","MAP OF AFRICA B/BASE 250MM","KWC000 KWC","000009","000009","08/10/2024","100.00","385.00","38500.00"
"CS-MAP-M","MAP OF AFRICA B/BASE 210MM","KWC000 KWC","000001","000001","17/11/2023","60.00","337.00","20220.00"
